小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,26,西风,1,0,85,
20,26,南风,1,0,84,39
19,26,东北风,1,0,81,40
18,26,南风,1,0,80,37
17,27,东南风,1,0,78,34
16,26,东南风,1,0,83,33
15,25,东南风,1,0,86,30
14,25,东南风,1,0,88,26
13,24,东风,1,0,91,24
12,24,东南风,1,0.1,92,23
11,24,南风,1,0.3,93,20
10,23,西南风,1,1,94,22
09,23,西风,1,0.5,94,18
08,23,南风,1,0.1,94,18
07,23,南风,1,0.5,93,24
06,23,南风,2,1,93,24
05,24,西南风,1,1.2,93,30
04,24,南风,1,2,93,40
03,25,南风,1,0.6,92,50
02,25,西风,1,0.1,88,53
01,25,西北风,1,0,87,55
00,26,西北风,2,0,88,54
23,26,西风,1,0,87,57
22,27,西南风,1,0.1,82,59
21,28,南风,1,0,72,56
